11870085:		2558	187
2767052:		2177	68
11235712:		2107	182
7260188:		1811	179
6148028:		1606	69
11735983:		1577	108
18007564:		1554	81
16068905:		1544	97
16096824:		1527	197
9460487:		1518	134
15745753:		1487	111
256683:		1445	121
22557272:		1431	114
13206760:		1408	119
8490112:		1400	121
13335037:		1383	94
29056083:		1380	347
10194157:		1376	115
9361589:		1371	68
23437156:		1364	94
9969571:		1345	109
10507293:		1344	88
10818853:		1264	58
19063:		1261	52
13206828:		1260	118
16143347:		1232	133
15783514:		1220	43
7896527:		1167	68
6186357:		1166	95
41865:		1162	17
8306857:		1148	64
13206900:		1123	131
23395680:		1089	124
15507958:		1087	126
16101128:		1086	124
17675462:		1074	71
6936382:		1069	61
28187:		1064	27
17167166:		1061	132
3:		1058	20
7735333:		1048	48
18798983:		1043	68
12578077:		1006	53
9275658:		1005	61
17927395:		1000	167
22055262:		996	72
99561:		992	89
7171637:		988	62
18692431:		975	171
8621462:		943	29
20613470:		936	103
22544764:		933	96
22628:		932	44
10429045:		926	67
15704307:		905	19
38447:		903	44
17347389:		897	90
3236307:		890	71
3636:		877	53
11505797:		872	56
12000020:		864	55
136251:		850	42
13496:		848	29
14061955:		846	90
1582996:		837	71
1217100:		827	45
15839976:		827	61
16248068:		811	72
8442457:		811	100
3777732:		809	81
10964:		807	62
4671:		805	27
12812550:		805	68
4374400:		805	33
6068551:		804	34
22489107:		800	64
6339664:		794	25
10025305:		793	72
18143977:		793	58
19547856:		791	49
375802:		791	38
6644117:		789	32
20170404:		784	47
6442769:		783	55
186074:		781	23
18460392:		781	106
6752378:		779	62
11500217:		773	70
17378508:		763	72
18006496:		759	107
4667024:		755	13
18710190:		748	131
15839984:		745	74
16069030:		745	46
1656001:		740	38
15717943:		738	52
8755785:		738	122
2213661:		738	14
15881:		732	27
20560137:		729	77
13104080:		723	65
18081809:		721	59
9627755:		717	70
6101718:		717	61
17378527:		716	141
10576365:		715	70
15749186:		713	57
8909152:		711	45
8755776:		710	72
14061957:		709	128
6482837:		709	76
17878931:		704	102
6304335:		703	34
9961796:		703	37
8492825:		698	50
13138635:		696	71
5:		693	22
9378297:		693	70
345627:		691	20
22328546:		690	102
6381205:		690	14
9565548:		689	36
7937843:		684	45
23734628:		682	67
20820994:		679	42
22299763:		672	107
17788401:		668	37
2657:		659	13
5470:		658	44
20821111:		653	90
16160797:		653	30
6487308:		649	36
13262783:		641	37
13414446:		640	78
6931356:		638	32
14290364:		633	89
9593911:		627	72
2429135:		624	26
13497818:		624	33
32075671:		624	16
6:		623	31
28260587:		623	105
13047090:		622	58
13618440:		619	70
1162543:		619	16
15858248:		617	15
1885:		616	14
13538873:		616	32
27883214:		614	56
27362503:		613	75
10798416:		609	18
24920901:		608	37
8235178:		608	65
8667848:		608	35
25494343:		605	81
13188676:		604	70
18584855:		602	88
23766634:		600	124
17235026:		599	86
10626594:		593	29
13372690:		591	24
2:		585	26
7631105:		584	41
28186:		582	15
6567017:		577	19
43641:		577	14
22609310:		576	40
5107:		574	16
20698530:		574	79
10194514:		572	24
20910157:		571	3
7686667:		571	29
13362536:		569	40
20764879:		563	81
17131869:		562	16
49041:		561	10
8525590:		558	40
24770:		558	29
16181775:		553	17
5287473:		553	27
11387515:		551	35
